ID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,go_term
Vitvi19g00618,Vitvi19g00618,385.52,2.978815,0.1697176,17.5516,5.78E-69,0,#N/A
Vitvi12g01878,Vitvi12g01878,365.076,3.035197,0.1732643,17.51773,1.05E-68,0,GO:0045735
Vitvi10g00451,Vitvi10g00451,95.93079,3.700898,0.2114839,17.49967,1.44E-68,0,#N/A
Vitvi12g00382,Vitvi12g00382,462.8927,2.203375,0.126406,17.43093,4.81E-68,0,GO:0005507
Vitvi06g00656,Vitvi06g00656,1202.293,1.203608,0.06911389,17.41484,6.37E-68,0,GO:0016717
Vitvi17g01621,Vitvi17g01621,86.37371,3.831009,0.2204689,17.37665,1.24E-67,0,GO:0004866
Vitvi19g00270,Vitvi19g00270,495.3349,1.895626,0.1093671,17.33269,2.67E-67,0,GO:0003677
Vitvi04g00157,VviMYBPA10,198.1958,2.3453,0.1354117,17.31977,3.34E-67,0,GO:0003677
Vitvi18g02924,Vitvi18g02924,427.6899,3.07392,0.1783839,17.23205,1.53E-66,0,GO:0005507
Vitvi08g00189,Vitvi08g00189,1950.163,1.011747,0.05878322,17.2115,2.18E-66,0,GO:0004553
Vitvi14g01555,Vitvi14g01555,210.5849,2.655166,0.1557151,17.05144,3.41E-65,0,GO:0005515
Vitvi17g00484,Vitvi17g00484,770.1786,-1.357799,0.08092047,-16.77943,3.45E-63,0,GO:0005506
Vitvi06g00666,Vitvi06g00666,96.72909,2.68716,0.1609521,16.6954,1.42E-62,0,GO:0004066
Vitvi07g00351,Vitvi07g00351,3048.195,1.564401,0.09381069,16.67615,1.95E-62,0,GO:0004857
Vitvi11g00668,Vitvi11g00668,684.4614,1.328395,0.07987506,16.6309,4.16E-62,0,GO:0004672
Vitvi01g00384,Vitvi01g00384,405.31089,1.539772242,0.092734837,16.6040325,6.52E-62,0,#N/A
Vitvi11g00443,Vitvi11g00443,177.3639,3.625559,0.2186376,16.58251,9.33E-62,0,#N/A
Vitvi01g00714,Vitvi01g00714,108608.8618,-1.166264032,0.070408186,-16.56432429,1.26E-61,0,GO:0016757
Vitvi17g01311,Vitvi17g01311,12151.29,1.006686,0.0617601,16.29994,9.88E-60,0,GO:0005509
Vitvi15g01076,Vitvi15g01076,1115.641,1.618133,0.09995919,16.18794,6.13E-59,0,GO:0004650
Vitvi02g00565,Vitvi02g00565,598.6892,1.171795,0.07324321,15.99868,1.31E-57,0,#N/A
Vitvi01g01071,Vitvi01g01071,384.1885891,2.933929915,0.184570125,15.8960174,6.75E-57,0,GO:0016021
Vitvi07g01844,Vitvi07g01844,1301.991,1.736539,0.1093643,15.87849,8.93E-57,0,GO:0005506
Vitvi07g01255,Vitvi07g01255,1842.788,1.046582,0.06621584,15.80562,2.85E-56,0,GO:0016747
Vitvi10g02190,VviTPS104,137.4541,2.556298,0.1624979,15.73127,9.23E-56,0,GO:0010333
Vitvi02g00032,Vitvi02g00032,900.5583707,1.203928376,0.07670738,15.69507886,1.63E-55,0,GO:0003824
Vitvi18g02925,Vitvi18g02925,215.1155,3.711101,0.2366381,15.6826,1.99E-55,0,#N/A
Vitvi07g02355,Vitvi07g02355,190.8833,4.458026,0.2843746,15.67659,2.19E-55,0,GO:0050660
Vitvi08g01711,Vitvi08g01711,686.9181,1.72234,0.1099995,15.65771,2.94E-55,0,#N/A
Vitvi18g00967,Vitvi18g00967,1107.418,-1.895802,0.1212372,-15.63712,4.07E-55,0,GO:0003677
Vitvi01g00158,Vitvi01g00158,3523.080457,-1.042272471,0.067364097,-15.47222505,5.34E-54,0,GO:0004185
Vitvi02g00125,Vitvi02g00125,2920.285279,1.432417286,0.093045565,15.39479383,1.77E-53,0,GO:0003824
Vitvi11g00467,Vitvi11g00467,149.5081,2.880193,0.1874314,15.36665,2.74E-53,0,GO:0003700
Vitvi05g01943,Vitvi05g01943,483.4461,3.515511,0.2287827,15.36615,2.76E-53,0,#N/A
Vitvi03g01524,Vitvi03g01524,311.8374,1.644407,0.1072163,15.33728,4.31E-53,0,GO:0005506
Vitvi09g00593,Vitvi09g00593,464.4537,1.414998,0.09235268,15.32168,5.48E-53,0,GO:0003700
Vitvi03g01196,Vitvi03g01196,519.3889,1.467697,0.09599446,15.28939,9.00E-53,0,#N/A
Vitvi12g01874,Vitvi12g01874,140.1665,2.126098,0.1395699,15.23322,2.13E-52,0,GO:0045735
Vitvi08g01101,Vitvi08g01101,115.7431,2.571501,0.1688692,15.22777,2.31E-52,0,GO:0000145
Vitvi14g02997,Vitvi14g02997,3062.01,1.543651,0.1015623,15.19906,3.59E-52,0,#N/A
Vitvi08g02120,Vitvi08g02120,135.419,3.238378,0.213784,15.14789,7.82E-52,0,GO:0004185
Vitvi17g00217,Vitvi17g00217,678.1453,2.022667,0.1336973,15.12871,1.05E-51,0,#N/A
Vitvi09g00040,Vitvi09g00040,133.5696,2.207107,0.1461164,15.10512,1.50E-51,0,GO:0016788
Vitvi08g00863,Vitvi08g00863,500.8465,1.417227,0.09414974,15.05291,3.30E-51,0,GO:0004672
Vitvi05g00548,Vitvi05g00548,381.2955,2.277517,0.1514054,15.04251,3.87E-51,0,GO:0008271
Vitvi18g02472,Vitvi18g02472,1934.975,-1.193685,0.07946247,-15.02199,5.27E-51,0,#N/A
Vitvi13g01660,Vitvi13g01660,599.1053,1.907402,0.127024,15.01607,5.76E-51,0,GO:0003824
